# Train        Test        
    0.665032     0.193269 
    0.618122     0.251328 
    0.641964     0.311958 
    0.599662     0.269137 
    0.621846     0.244654 
    0.644706     0.213247 
    0.657367     0.274038 
    0.695556     0.230911 
    0.676388     0.296340 
    0.623564     0.288182 
    0.596074     0.233183 
    0.603631     0.233902 
    0.637985     0.280989 
    0.699683     0.349823 
    0.676105     0.273412 
    0.690313     0.324463 
    0.635873     0.225462 
    0.625187     0.224087 
    0.653400     0.198731 
    0.661589     0.272092 
    0.668720     0.246335 
    0.638266     0.252917 
    0.676730     0.221684 
    0.633373     0.199793 
    0.613335     0.185271 
    0.661222     0.253505 
    0.646697     0.269442 
    0.705700     0.255885 
    0.686931     0.343420 
    0.639478     0.240395 
    0.656955     0.300052 
    0.689904     0.257410 
    0.669266     0.247417 
    0.683502     0.265366 
    0.650827     0.216650 
    0.671742     0.305804 
    0.682847     0.197211 
    0.636743     0.236007 
    0.642328     0.310945 
    0.609940     0.276554 
    0.682339     0.321959 
    0.685754     0.313575 
    0.643814     0.324172 
    0.663412     0.295327 
    0.682071     0.266117 
    0.623874     0.304181 
    0.622037     0.246034 
    0.669075     0.227082 
    0.702046     0.326959 
    0.723353     0.251504 
    0.659938     0.258550 
    0.663870     0.286790 
    0.651032     0.253506 
    0.668750     0.346349 
    0.673879     0.353550 
    0.705324     0.347593 
    0.702936     0.303904 
    0.655935     0.336229 
    0.660728     0.363080 
    0.635610     0.252828 
    0.636681     0.249639 
    0.671846     0.244635 
    0.686722     0.248010 
    0.726369     0.278480 
    0.708333     0.301838 
    0.629793     0.327412 
    0.675810     0.274102 
    0.656628     0.242244 
    0.670937     0.213831 
    0.686545     0.373335 
    0.666446     0.268641 
    0.676322     0.217743 
    0.625882     0.260772 
    0.668567     0.300747 
    0.670179     0.161443 
    0.665798     0.407891 
    0.652188     0.346508 
    0.654688     0.314664 
    0.669954     0.311008 
    0.666521     0.305525 
    0.644417     0.323064 
    0.672925     0.416441 
    0.664177     0.268807 
    0.700610     0.373591 
    0.723061     0.330808 
    0.694287     0.198785 
    0.673236     0.397624 
    0.664033     0.356156 
    0.633903     0.255046 
    0.703586     0.313456 
    0.682408     0.351506 
    0.733434     0.274878 
    0.764233     0.289254 
    0.700002     0.343945 
    0.606615     0.267525 
    0.658232     0.362582 
    0.697456     0.198364 
    0.726583     0.264661 
    0.709576     0.242491 
    0.682145     0.304769 
    0.634607     0.287860 
    0.672134     0.253768 
    0.621153     0.216083 
    0.690170     0.297614 
    0.703897     0.310014 
    0.734320     0.297769 
    0.742325     0.306521 
    0.673849     0.317421 
    0.673023     0.253962 
    0.723267     0.186857 
    0.720746     0.134546 
    0.673857     0.399170 
    0.719065     0.458715 
    0.715225     0.277544 
    0.711267     0.281759 
    0.631338     0.337967 
    0.711886     0.275384 
    0.661641     0.289204 
    0.709138     0.221754 
    0.703074     0.409401 
    0.701750     0.378180 
    0.688360     0.284169 
    0.697726     0.350572 
    0.697525     0.324586 
    0.673698     0.295293 
    0.712748     0.360908 
    0.728940     0.309753 
    0.694769     0.347331 
    0.696698     0.271162 
    0.630886     0.284278 
    0.675147     0.391671 
    0.665217     0.412567 
    0.674664     0.302832 
    0.697171     0.342273 
    0.724823     0.349109 
    0.667324     0.231400 
    0.688248     0.371157 
    0.670402     0.286367 
    0.666642     0.287522 
    0.703935     0.344498 
    0.682744     0.452950 
    0.716770     0.382146 
    0.688698     0.381552 
    0.695508     0.330846 
    0.714280     0.457533 
    0.697661     0.351562 
    0.728929     0.383912 
    0.715079     0.439221 
    0.701325     0.259340 
    0.738377     0.309983 
    0.685566     0.325770 
    0.702948     0.309251 
    0.717558     0.279994 
    0.726629     0.250095 
    0.734080     0.361508 
    0.733750     0.321280 
    0.707950     0.415401 
    0.709573     0.328972 
    0.668248     0.385423 
    0.693028     0.347719 
    0.743432     0.311498 
    0.726547     0.352323 
    0.746516     0.362093 
    0.704850     0.393608 
    0.693517     0.398388 
    0.659046     0.201840 
    0.715448     0.426817 
    0.730036     0.466667 
    0.716501     0.320704 
    0.757433     0.417163 
    0.687454     0.413410 
    0.693482     0.255993 
    0.685970     0.310592 
    0.743999     0.334688 
    0.703817     0.250996 
    0.725327     0.247560 
    0.699496     0.212330 
    0.673751     0.306088 
    0.695744     0.312495 
    0.697531     0.443266 
    0.718854     0.452651 
    0.710167     0.300032 
    0.755387     0.351824 
    0.746187     0.417012 
    0.699416     0.380100 
    0.753825     0.237128 
    0.683110     0.309114 
    0.719981     0.331049 
    0.712594     0.301619 
    0.747657     0.316195 
    0.715334     0.339502 
    0.693145     0.394612 
    0.712388     0.359451 
    0.737930     0.335674 
    0.704567     0.373963 
    0.715215     0.420816 
    0.744981     0.357683 
    0.733748     0.405178 
    0.738312     0.356151 
    0.717388     0.251298 
    0.680549     0.502014 
    0.722695     0.408970 
    0.730170     0.355806 
    0.783721     0.398404 
    0.718342     0.409351 
    0.749288     0.377243 
    0.708911     0.204055 
    0.693304     0.477725 
    0.732115     0.311280 
    0.761033     0.333245 
    0.756606     0.402605 
    0.730950     0.443808 
    0.759130     0.395251 
    0.733866     0.396323 
    0.694315     0.401652 
    0.701926     0.339728 
    0.729794     0.366293 
    0.726288     0.366537 
    0.759342     0.438894 
    0.713846     0.470375 
    0.690430     0.427140 
    0.713756     0.271955 
    0.741838     0.351805 
    0.741653     0.407683 
    0.776233     0.322864 
    0.723530     0.393833 
    0.696744     0.406310 
    0.731234     0.345191 
    0.712300     0.254757 
    0.686628     0.316334 
    0.732471     0.348130 
    0.765968     0.350041 
    0.769315     0.325754 
    0.741996     0.357919 
    0.762077     0.354794 
    0.721283     0.416141 
    0.698195     0.422068 
    0.728478     0.403036 
    0.738868     0.400201 
    0.724072     0.318429 
    0.780518     0.423130 
    0.729098     0.372589 
    0.692953     0.301948 
    0.750167     0.355968 
    0.759482     0.417826 
    0.772581     0.388806 
    0.751110     0.436564 
    0.739071     0.311235 
    0.718871     0.335942 
    0.730379     0.354369 
    0.700358     0.324026 
    0.733524     0.397615 
    0.775409     0.472378 
    0.753033     0.379079 
    0.760813     0.403116 
    0.725019     0.415526 
    0.707987     0.246284 
    0.715821     0.346766 
    0.774619     0.450959 
    0.757503     0.354023 
    0.727644     0.369822 
    0.745291     0.267087 
    0.726006     0.389410 
    0.710622     0.383035 
    0.754163     0.330870 
    0.762640     0.429751 
    0.749259     0.379602 
    0.790455     0.351771 
    0.744650     0.413551 
    0.740462     0.364379 
    0.690136     0.380119 
    0.652494     0.402174 
    0.749647     0.388802 
    0.770033     0.486856 
    0.761230     0.366622 
    0.771223     0.406798 
    0.763690     0.274399 
    0.746552     0.410988 
    0.673788     0.341823 
    0.771304     0.415126 
    0.770313     0.326116 
    0.775246     0.358818 
    0.733944     0.405747 
    0.706391     0.330924 
    0.743652     0.398684 
    0.743247     0.342391 
    0.707522     0.301683 
    0.771743     0.402984 
    0.790834     0.400397 
    0.747418     0.358104 
    0.692503     0.401251 
    0.736969     0.321696 
    0.711528     0.395874 
    0.750922     0.471199 
    0.742398     0.458462 
    0.744576     0.424135 
    0.736990     0.342757 
    0.753429     0.385920 
    0.702647     0.337307 
    0.716322     0.337251 
    0.703476     0.400293 
    0.767221     0.367845 
    0.758799     0.432478 
    0.761706     0.302467 
    0.749836     0.295808 
    0.727861     0.305113 
    0.667529     0.325631 
    0.772869     0.370031 
    0.764449     0.272430 
    0.748364     0.266135 
    0.752016     0.344600 
    0.764665     0.341226 
    0.737050     0.356900 
    0.711336     0.420607 
    0.759655     0.363198 
    0.732356     0.389041 
    0.751688     0.461052 
    0.738331     0.366624 
    0.697754     0.344639 
    0.710812     0.348177 
    0.752339     0.388920 
    0.736619     0.430463 
    0.759625     0.343615 
    0.732722     0.406327 
    0.789133     0.415347 
    0.762596     0.415092 
    0.739902     0.250135 
    0.751631     0.417703 
    0.773057     0.462500 
    0.795347     0.341675 
    0.763601     0.398284 
    0.738048     0.444451 
    0.787333     0.434578 
    0.738829     0.430494 
    0.741185     0.345473 
    0.767977     0.457006 
    0.775467     0.486047 
    0.787682     0.471952 
    0.740297     0.385602 
    0.709478     0.358083 
    0.733857     0.345919 
    0.764090     0.426531 
    0.793778     0.378141 
    0.772281     0.322377 
    0.771825     0.326388 
    0.744122     0.360065 
    0.779567     0.326682 
    0.754173     0.362808 
    0.726899     0.429791 
    0.803284     0.325271 
    0.776632     0.421668 
    0.791731     0.393580 
    0.790194     0.391509 
    0.770323     0.365790 
    0.752391     0.376282 
    0.762978     0.308274 
    0.750688     0.451488 
    0.769544     0.326445 
    0.770252     0.434181 
    0.777861     0.410621 
    0.732785     0.412209 
    0.729538     0.290309 
    0.721992     0.236008 
    0.733865     0.424694 
    0.742229     0.388666 
    0.798241     0.265721 
    0.783068     0.324343 
    0.738116     0.351788 
    0.771690     0.474256 
    0.721087     0.367097 
    0.744500     0.377573 
    0.764702     0.323082 
    0.801338     0.451962 
    0.746065     0.348439 
    0.793451     0.390713 
    0.786867     0.337544 
    0.712333     0.345004 
    0.747666     0.383628 
    0.771998     0.474068 
    0.780207     0.364536 
    0.779383     0.367529 
    0.737462     0.301351 
    0.724774     0.384226 
    0.759073     0.390713 
    0.707900     0.395723 
    0.772879     0.340926 
    0.774011     0.373241 
    0.768785     0.228631 
    0.747389     0.319018 
    0.738016     0.257050 
    0.704515     0.355412 
    0.757419     0.366644 
    0.767878     0.420506 
    0.768971     0.340157 
    0.792846     0.369914 
    0.811251     0.262097 
    0.741128     0.336196 
    0.775047     0.434097 
    0.748914     0.448206 
